city,province,students,latitude,longitude
"Huarong, Hunan",Hunan,1,29.53,112.56
"Liyang, Jiangsu",Jiangsu,1,31.4218,119.4845
"Hunan, Hunan",Hunan,1,28.2282,112.9388
"Luanxian, Hebei",Hebei,1,39.7399,118.7029
"Huayang, Sichuan",Sichuan,1,30.5394,104.0658
"Huaxian, Shaanxi",Shaanxi,1,34.5122,109.7714
"Mengjin, Henan",Henan,1,34.8229,112.4382
"Anshun, Guizhou",Guizhou,1,26.2456,105.932
"Linhai, Zhejiang",Zhejiang,1,28.8581,121.1444
"Huanggang, Hubei",Hubei,1,30.4548,114.8724
"Huangan, Hubei",Hubei,1,31.3504,114.6787
"Nanchong, Sichuan",Sichuan,1,30.799,106.0827
"Huan, Guangdong",Guangdong,1,23.7,116.0
"Huaiyin, Jiangsu",Jiangsu,1,33.5883,119.022
"Nanping, Fujian",Fujian,1,26.6453,118.178
"Linxiang, Hunan",Hunan,1,29.4773,113.4508
"Liaozhong, Liaoning",Liaoning,1,41.5063,122.7349
"Jingxi, Guangxi",Guangxi,1,23.1342,106.4177
"Jixian, Henan",Henan,1,35.4039,114.0659
"Jingxian, Anhui",Anhui,1,30.6924,118.4196
"Jinhua, Zhejiang",Zhejiang,1,29.0786,119.6471
"Jinjiang, Fujian",Fujian,1,24.7817,118.5522
"Jintan, Jiangsu",Jiangsu,1,31.7437,119.5975
"Jinxi, Liaoning",Liaoning,1,40.7469,120.9882
"Jinxian, Hebei",Hebei,1,37.9702,115.1254
"Jurong, Jiangsu",Jiangsu,1,31.9454,119.1685
"Lianxian, Guangdong",Guangdong,1,24.7661,112.3837
"Jiaoxian, Shandong",Shandong,1,36.2647,120.0337
"Jiangshan, Zhejiang",Zhejiang,1,28.7375,118.6244
"Kunshan, Jiangsu",Jiangsu,1,31.3842,120.9581
"Laiwu, Shandong",Shandong,1,36.2139,117.6762
"Lanxi, Zhejiang",Zhejiang,1,29.2083,119.4598
"Lianxi, Sichuan",Sichuan,1,30.45,105.05
"Huairen, Shanxi",Shanxi,1,39.8275,113.1007
"Huaian, Jiangsu",Jiangsu,1,33.56,119.0215
"Ningan, Jilin",Jilin,1,44.3406,129.4634
"Shenyang, Liaoning",Liaoning,1,41.8057,123.4315
"Shangyu, Jiangsu",Jiangsu,1,30.0337,120.869
"Hanchuan, Hubei",Hubei,1,30.6546,113.8388
"Hancheng, Shaanxi",Shaanxi,1,35.4766,110.4384
"Haiyan, Zhejiang",Zhejiang,1,30.5264,120.9467
"Hainan, Guangdong",Guangdong,1,20.044,110.1999
"Haicheng, Liaoning",Liaoning,1,40.8824,122.7349
"Shexian, Anhui",Anhui,1,29.8674,118.4151
"Heze, Shandong",Shandong,1,35.2333,115.4667
"Guixian, Guangxi",Guangxi,1,22.9978,109.5975
"Shucheng, Anhui",Anhui,1,31.4621,116.9486
"Guiping, Guangxi",Guangxi,1,23.3944,110.0792
"Guilin, Guangxi",Guangxi,1,25.2736,110.29
"Sihui, Guangdong",Guangdong,1,23.3274,112.6973
"Guanyun, Jiangsu",Jiangsu,1,34.2844,119.2384
"Hangxian, Jiangsu",Jiangsu,1,30.2741,120.1551
"Hangzhou, Zhejiang",Zhejiang,1,30.2741,120.1551
"Harbin, Heilongjiang",Heilongjiang,1,45.8038,126.5349
"Rugao, Jiangsu",Jiangsu,1,32.3749,120.5742
"Raoyang, Hebei",Hebei,1,38.2341,115.7262
"Qixian, Shanxi",Shanxi,1,37.3579,112.3327
"Qingyuan, Hebei",Hebei,1,38.7012,115.487
"Qingyuan, Guangdong",Guangdong,1,23.6823,113.0561
"Qingtian, Zhejiang",Zhejiang,1,28.1399,120.2899
"Qingpu, Jiangsu",Jiangsu,1,31.1512,121.1241
"Pucheng, Fujian",Fujian,1,27.9167,118.5333
"Pingxiang, Jiangxi",Jiangxi,1,27.6285,113.854
"Pingtan, Fujian",Fujian,1,25.499,119.7897
"Hengshan, Hunan",Hunan,1,27.2302,112.8681
"Hepu, Guangdong",Guangdong,1,21.6667,109.2
"Ningxiang, Hunan",Hunan,1,28.2726,112.5516
"Hexian, Anhui",Anhui,1,31.7419,118.3531
"Anci, Hebei",Hebei,1,39.5018,116.6962
