student,source,source_display,target,target_display,source_year,target_year,source_levels,target_levels,source_country,target_country
N00294,Manhattan College,Manhattan College,Harvard University,Harvard University,1941,1943,['Bachelor'],['Unspecified'],US,US
N00295,University of Illinois,University of Illinois,Northwestern University,Northwestern University,1924,1943,['Unspecified'],['Unspecified'],US,US
N00296,Lingnan University,嶺南大學,University of Pennsylvania,University of Pennsylvania,1938,1942,['Unspecified'],['Bachelor'],China,US
N00297,University of Hawaii,University of Hawaii,Massachusetts Institute of Technology,Massachusetts Institute of Technology,1940,1942,['Unspecified'],['Bachelor'],US,US
N00299,Washington & Jefferson College,Washington & Jefferson College,Stanford University,Stanford University,1939,1942,['Bachelor'],['Master'],US,US
N00300,De La Salle College,De La Salle College,Harvard University,Harvard University,1940,1942,['Bachelor'],['Master'],Other,US
N00303,Lingnan University,嶺南大學,Massachusetts Institute of Technology,Massachusetts Institute of Technology,1940,1943,['Unspecified'],['Unspecified'],China,US
N00303,Lingnan University,嶺南大學,University of California,University of California,1940,1943,['Unspecified'],['Unspecified'],China,US
N00304,Shanghai University,滬江大學,University of California,University of California,1936,1943,['Unspecified'],['Unspecified'],China,US
N00305,Lingnan University,嶺南大學,Massachusetts Institute of Technology,Massachusetts Institute of Technology,1940,1943,['Unspecified'],['Unspecified'],China,US
N00305,Lingnan University,嶺南大學,Mills College,Mills College,1940,1943,['Unspecified'],['Unspecified'],China,US
N00313,St. John's University,聖約翰大學,New York University,New York University,1937,1943,['Unspecified'],['Unspecified'],China,US
N00314,University of Wisconsin,University of Wisconsin,Tufts College,Tufts College,1941,1943,['Unspecified'],['Unspecified'],US,US
N00320,St. John's University,聖約翰大學,Purdue University,Purdue University,1937,1941,['Unspecified'],['Bachelor'],China,US
N00321,Shanghai University,滬江大學,George Peabody College,George Peabody College,1941,1943,['Unspecified'],['Unspecified'],China,US
N00324,New York University,New York University,Columbia University,Columbia University,1940,1941,['Bachelor'],['Master'],US,US
N00326,Southeast University,東南大學,Peking Union Medical College,協和醫學院,1925,1930,['Unspecified'],['Unspecified'],China,China
N00326,Peking Union Medical College,協和醫學院,Northwestern University,Northwestern University,1930,1943,['Unspecified'],['Unspecified'],China,US
N00327,Lingnan University,嶺南大學,Penn State College,Penn State College,1940,1942,['Unspecified'],['Bachelor'],China,US
N00327,Penn State College,Penn State College,Cornell University,Cornell University,1942,1943,['Bachelor'],['Unspecified'],US,US
N00328,Jiaotong University,交通大學,Purdue University,Purdue University,1938,1941,['Unspecified'],['Bachelor'],China,US
N00331,Tsinghua University,清華大學,Massachusetts Institute of Technology,Massachusetts Institute of Technology,1939,1943,['Unspecified'],['Unspecified'],China,US
N00333,Jiaotong University,交通大學,Purdue University,Purdue University,1939,1940,['Unspecified'],['Master'],China,US
N00336,Yenching University,燕京大學,Mills College,Mills College,1935,1938,['Unspecified'],['Master'],China,US
N00336,Mills College,Mills College,University of Michigan,University of Michigan,1938,1943,['Master'],['Unspecified'],US,US
N00337,Zhejiang University,浙江大學,Massachusetts Institute of Technology,Massachusetts Institute of Technology,1936,1939,['Unspecified'],['Bachelor'],China,US
N00338,Jiaotong University,交通大學,Massachusetts Institute of Technology,Massachusetts Institute of Technology,1939,1942,['Unspecified'],['Master'],China,US
N00339,St. John's University,聖約翰大學,Purdue University,Purdue University,1933,1934,['Unspecified'],['Unspecified'],China,US
N00339,Purdue University,Purdue University,Massachusetts Institute of Technology,Massachusetts Institute of Technology,1934,1938,['Unspecified'],['Unspecified'],US,US
N00340,Yenching University,燕京大學,Cambridge University,Cambridge University,1935,1940,['Unspecified'],['Doctorate'],China,Other
N00341,Wellesley College,Wellesley College,Radcliffe College,Radcliffe College,1941,1942,['Unspecified'],['Master'],US,US
N00344,St. John's University,聖約翰大學,Harvard University,Harvard University,1939,1943,['Unspecified'],['Master'],China,US
N00345,New York University,New York University,Harvard University,Harvard University,1941,1943,['Bachelor'],['Master'],US,US
N00346,Cornell University,Cornell University,Massachusetts Institute of Technology,Massachusetts Institute of Technology,1937,1943,['Bachelor'],['Master'],US,US
N00348,Jinling University,金陵大學,Harvard University,Harvard University,1932,1942,['Unspecified'],['Master'],China,US
N00349,Guanghua University,光華大學,Harvard University,Harvard University,1941,1943,['Unspecified'],['Unspecified'],China,US
N00349,Guanghua University,光華大學,University of Pennsylvania,University of Pennsylvania,1941,1943,['Unspecified'],['Master'],China,US
N00350,Armour Institute of Technology,Armour Institute of Technology,University of Cincinnati,University of Cincinnati,1938,1943,['Bachelor'],['Unspecified'],US,US
N00352,Shanghai University,滬江大學,University of Chicago,University of Chicago,1937,1940,['Unspecified'],['Master'],China,US
N00353,Taxation College,稅務專門學校,University of Chicago,University of Chicago,1935,1943,['Unspecified'],['Unspecified'],China,US
N00353,Taxation College,稅務專門學校,University of Wisconsin,University of Wisconsin,1935,1943,['Unspecified'],['Master'],China,US
