id,label,clean_label,students,degree,degree_centrality,weighted_degree,betweenness,closeness,pagerank,community,community_size,country,city,state
Guanghua University,光華大學,Guanghua University,12,11,0.026634382566585957,17,0.003935151457444155,0.3192805911882724,0.0039621064777197465,4,41,China,Shanghai,Shanghai
Guangxi Aviation School,廣西航空學校,Guangxi Aviation School,1,0,0.0,0,0.0,0.0,0.00041419301394496577,31,1,China,Liuzhou,Guangxi
Guangxi University,廣西大學,Guangxi University,2,2,0.004842615012106538,2,0.0,0.24690254126625089,0.0007839297635466736,7,29,China,Wuzhou,Guangxi
Guangzhou University,廣州大學,Guangzhou University,1,1,0.002421307506053269,1,0.0,0.25410289759668714,0.0006033319948244931,4,41,China,Guangzhou,Guangdong
Guilford College,Guilford College,Guilford College,1,2,0.004842615012106538,2,0.0,0.25220483673695465,0.0007931575734145745,2,48,United States,Greensboro,North Carolina
Hamline University,Hamline University,Hamline University,1,0,0.0,0,0.0,0.0,0.00041419301394496577,32,1,United States,Saint Paul,Minnesota
Harbin Polytechnic Institute,Harbin Polytechnic Institute,Harbin Polytechnic Institute,1,1,0.002421307506053269,1,0.0,0.23903661959759154,0.000591916516362593,1,62,China,Harbin,Heilongjiang
Hartford Seminary Foundation,Hartford Seminary Foundation,Hartford Seminary Foundation,3,5,0.012106537530266345,6,0.00012291974987106952,0.28553000015357133,0.0016083461295190308,5,39,United States,Hartford,Connecticut
Harvard University,Harvard University,Harvard University,95,50,0.12106537530266344,127,0.048688011334720574,0.386979054649396,0.025747366893677084,1,62,United States,Cambridge,Massachusetts
Hastings College,Hastings College,Hastings College,1,0,0.0,0,0.0,0.0,0.00041419301394496577,33,1,United States,Hastings,Nebraska
Haverford College,Haverford College,Haverford College,5,7,0.01694915254237288,8,0.004132935162919158,0.31666046910349177,0.002295807374010845,5,39,United States,Haverford,Pennsylvania
Heald's College,Heald's College,Heald's College,1,0,0.0,0,0.0,0.0,0.00041419301394496577,34,1,United States,San Francisco,California
Heald’s Engineering College,Heald’s Engineering College,Heald’s Engineering College,1,0,0.0,0,0.0,0.0,0.00041419301394496577,35,1,United States,San Francisco,California
Hebei Institute of Technology,河北工學院,Hebei Institute of Technology,2,1,0.002421307506053269,1,0.0,0.24400305342843584,0.0005887010636111718,7,29,China,Tianjin,Tianjin
Hebei Provincial Institute of Technology,河北省立工業學院,Hebei Provincial Institute of Technology,1,0,0.0,0,0.0,0.0,0.00041419301394496577,36,1,China,Tianjin,Tianjin
Hebei University,河北大學,Hebei University,1,1,0.002421307506053269,1,0.0,0.24803616174956702,0.0005971821404006263,1,62,China,Tianjin,Tianjin
Henan University,河南大學,Henan University,1,0,0.0,0,0.0,0.0,0.00041419301394496577,37,1,China,Kaifeng,Henan
Hochschule für Musik,Hochschule für Musik,Hochschule für Musik,1,1,0.002421307506053269,1,0.0,0.002421307506053269,0.0027612867596299075,17,2,Germany,Berlin,
Holy Cross College,Holy Cross College,Holy Cross College,1,1,0.002421307506053269,1,0.0,0.23756497814008656,0.0006160152001485396,1,62,United States,Notre Dame,Indiana
Hongkong University,Hongkong University,Hongkong University,1,1,0.002421307506053269,1,0.0,0.27534289515318905,0.000602331402415968,2,48,Hong Kong,Hong Kong,
Houghton College,Houghton College,Houghton College,1,0,0.0,0,0.0,0.0,0.00041419301394496577,38,1,United States,Houghton,New York
Huazhong University,華中大學,Huazhong University,1,2,0.004842615012106538,2,0.0,0.27562385729110045,0.0008108803789903731,3,42,China,Wuhan,Hubei
