student,stage1,stage1_display,stage1_year,stage1_levels,stage1_country,stage2,stage2_display,stage2_year,stage2_levels,stage2_country,stage3,stage3_display,stage3_year,stage3_levels,stage3_country
N01225,Stanford University,Stanford University,1937,['Bachelor'],US,University of Arizona,University of Arizona,1942,['Master'],US,University of Illinois,University of Illinois,1943,['Unspecified'],US
N01267,Yenching University,燕京大學,1938,['Unspecified'],China,University of Kansas,University of Kansas,1941,['Bachelor'],US,University of Chicago,University of Chicago,1943,['Unspecified'],US
N01271,Lingnan University,嶺南大學,1937,['Unspecified'],China,Lowell Textile Institute,Lowell Textile Institute,1942,['Unspecified'],US,Columbia University,Columbia University,1943,['Unspecified'],US
N01281,Lingnan University,嶺南大學,1930,['Unspecified'],China,Illinois Institute of Technology,Illinois Institute of Technology,1934,['Bachelor'],US,University of Chicago,University of Chicago,1943,['Unspecified'],US
N01285,Guangdong National University,廣東國民大學,1936,['Unspecified'],China,Boston University,Boston University,1940,['Master'],US,Catholic University of America,Catholic University of America,1943,['Unspecified'],US
N01288,Beijing University,北京大學,1931,['Unspecified'],China,University of Kansas,University of Kansas,1941,['Unspecified'],US,University of Minnesota,University of Minnesota,1943,['Unspecified'],US
N01289,Guangdong Provincial Technical College,廣東省立工業專門學校,1934,['Unspecified'],China,Polytechnic Engineering College,Polytechnic Engineering College,1942,['Bachelor'],US,University of Michigan,University of Michigan,1943,['Unspecified'],US
N01293,West China University,華西大學,1932,['Unspecified'],China,Yenching University,燕京大學,1938,['Unspecified'],China,Cornell University,Cornell University,1943,['Unspecified'],US
N01297,Fujian Union University,福建協和大學,1934,['Unspecified'],China,University of Southern California,University of Southern California,1940,['Master'],US,University of Minnesota,University of Minnesota,1943,['Unspecified'],US
N01300,Ginling College,金陵女子文理學院,1936,['Unspecified'],China,University of London,University of London,1939,['Unspecified'],Other,Radcliffe College,Radcliffe College,1943,['Unspecified'],US
N01300,Ginling College,金陵女子文理學院,1936,['Unspecified'],China,University of London,University of London,1939,['Unspecified'],Other,Smith College,Smith College,1943,['Bachelor'],US
